tempat,tarikhMula,tarikhTamat,Tahun,Negeri
Sg. Kijing / Sg. Rinting,18/11,18/11,2001,Terengganu
Sg. Marang,23/12,25/12,2001,Terengganu
Sg. Terengganu,18/12,18/12,2001,Terengganu
Sg. Nerus,17/12,17/12,2001,Terengganu
Sg. Takir / Sg. Buaya / Sg. Tepoh,18/11,18/11,2001,Terengganu
Sg. Tok Jiring,18/11,18/11,2001,Terengganu
Sg. Telemong,29/12,30/12,2001,Terengganu
Sg. Setiu,16/12,18/12,2001,Terengganu
Sg. Guntong,16/12,16/12,2001,Terengganu
Sg. Caluk,16/12,16/12,2001,Terengganu
Sg. Besut,16/12,18/12,2001,Terengganu
Sg. Kelantan,15/12,30/12,2001,Terengganu
Sg. Kelantan,23/12,29/12,2001,Terengganu
Sg. Sat,15/12,30/12,2001,Terengganu
Sg. Kerawang,15/12,30/12,2001,Terengganu
Sg. Galang,15/12,30/12,2001,Terengganu
Sg. Joh,15/12,30/12,2001,Terengganu
Sg. Pek,15/12,30/12,2001,Terengganu
Sg. Suda,15/12,30/12,2001,Terengganu
Sg. Panyit,15/12,30/12,2001,Terengganu
Sg. Dewan,15/12,30/12,2001,Terengganu
Sg. Keladi,18/12,26/12,2001,Terengganu
Sg. Mulong,18/12,26/12,2001,Terengganu
Sg. Lubok Mulong,18/12,26/12,2001,Terengganu
Sg. Pergau,18/12,20/12,2001,Terengganu
Sg. Tadoh,18/12,20/12,2001,Terengganu
Sg. Galas,22/12,23/12,2001,Terengganu
Sg. Nenggiri,22/12,23/12,2001,Terengganu
Sg. Aring,22/12,23/12,2001,Terengganu
Sg. Chiku,22/12,23/12,2001,Terengganu
Sg. Chindai,22/12,23/12,2001,Terengganu
Sg. Ketil,22/12,23/12,2001,Terengganu
Sg. Relai,22/12,23/12,2001,Terengganu
Sg. Kusial,23/12,29/12,2001,Terengganu
Sg. Maka,24/12,29/12,2001,Terengganu
Sg. Malai,24/12,29/12,2001,Terengganu
Sg. Rambai,24/12,29/12,2001,Terengganu
Sg. Golok,23/12,26/12,2001,Terengganu
Sg. Matopang,29/5,29/5,2001,Sabah
Sg. Moyog,13/3,14/3,2001,Sabah
Sg. Papar,12/3,13/3,2001,Sabah
Sg. Kawang,3/10,11/10,2001,Sabah
Sg. Kimanis,12/3,13/3,2001,Sabah
Sg. Bongawan,3/10,11/10,2001,Sabah
Sg. Membakut,8/10,11/10,2001,Sabah
Sg. Membakut,2/11,7/11,2001,Sabah
Sg. Mempikit,3/4,3/4,2001,Sabah
Sg. Naluyan,24/11,25/11,2001,Sabah
Btg. Limbang,25/1,28/1,2001,Sarawak
Sg. Baram,4/3,6/3,2001,Sarawak
Sg. Baram,17/3,20/3,2001,Sarawak
Sg. Bakir/ Sg. Simanggang,9/2,13/2,2001,Sarawak
Btg. Rajang,9/2,14/2,2001,Sarawak
Sg. Sarawak,28/2,28/2,2001,Sarawak
Sg. Kedah,7/7,7/7,2002,Kedah
Sg. Bata / Temin,30/12,30/12,2002,Kedah
Sg. Petani,20/10,20/10,2002,Kedah
Sg. Petani,20/11,20/11,2002,Kedah
Sg. Petani,17/12,17/12,2002,Kedah
Sg. Kulim,29/4,29/4,2002,PulauPinang
Sg. Kulim,11/10,11/10,2002,PulauPinang
Sg. Kulim,13/10,13/10,2002,PulauPinang
Sg. Kulim,14/11,14/11,2002,PulauPinang
Sg. Kulim,19/11,19/11,2002,PulauPinang
Sg. Pertama,29/4,29/4,2002,PulauPinang
Sg. Permatang Rawa,29/4,29/4,2002,PulauPinang
Sg. Permatang Rawa,14/11,14/11,2002,PulauPinang
Sg. Rambai / Pt. 4,29/4,29/4,2002,PulauPinang
Pt. Estet,29/4,29/4,2002,PulauPinang
Sg. Junjong,14/11,14/11,2002,PulauPinang
Sg. Junjong,18/11,18/11,2002,PulauPinang
Sg. Machang Bubok,14/11,14/11,2002,PulauPinang
Sg. Machang Bubok,18/11,18/11,2002,PulauPinang
Sg. Pinang,8/10,8/10,2002,PulauPinang
Sg. Jelutong,8/10,8/10,2002,PulauPinang
Prangin Canal,8/10,8/10,2002,PulauPinang
Sg. Air terjun,8/10,8/10,2002,PulauPinang
Sg. Kerian,8/3,8/3,2002,Perak
Sg. Kerian,29/4,29/4,2002,Perak
Sg. Kerian,&-&,&-&,2002,Perak
Sg. Kerian,3/11,3/11,2002,Perak
Sg. Kurau / Sg. Ara,18/10,18/10,2002,Perak
Sg. Jebong,3/11,3/11,2002,Perak
Sg. Jebong,6/11,6/11,2002,Perak
Sg. Jebong,14/11,16/11,2002,Perak
Sg. Petai,17/12,17/12,2002,Perak
Sg. Larut,14/11,14/11,2002,Perak
Sg. Larut,16/11,16/11,2002,Perak
Sg. Bruas / Sg. Dendang / Sg. Rotan,21/11,24/11,2002,Perak
Sg. Air Tawar,26/11,28/11,2002,Perak
Sg. Perak / Sg. Kinta,2/5,11/5,2002,Perak
Sg. Perak / Sg. Kinta,19/11,28/11,2002,Perak
Sg. Perak / Sg. Dedap,8/10,10/10,2002,Perak
Sg. Perak / Sg. Dedap,5/11,7/11,2002,Perak
Sg. Perak / Sg. Dedap,21/11,21/11,2002,Perak
Sg. Berof,8/4,8/4,2002,Perak
Sg. Balun,8/4,8/4,2002,Perak
Sg. Jeni,8/4,8/4,2002,Perak
Sg. Trolak,8/4,8/4,2002,Perak
Sg. Kinta / Sg. Pari,29/4,29/4,2002,Perak
Sg. Resam,29/4,29/4,2002,Perak
Sg. Resam,20/12,20/12,2002,Perak
Sg. Klah,9/11,9/11,2002,Perak
Sg. Tapah,18/12,18/12,2002,Perak
Sg. Selinsing,21/12,21/12,2002,Perak
Sg. Rokam,21/12,21/12,2002,Perak
Sg. Sayak,21/12,21/12,2002,Perak
Sg. Bidor,8/10,9/10,2002,Perak
Sg. Bidor,23/11,23/11,2002,Perak
Sg. Selabak,8/10,9/10,2002,Perak
Sg. Sungkai Mati,19/11,21/11,2002,Perak
Sg. Sungkai / Sg. Seluang,19/11,21/11,2002,Perak
Sg. Bidor,19/11,21/11,2002,Perak
Sg. Bidor,23/11,23/11,2002,Perak
Sg. Hangai,17/4,17/4,2002,Perak
Sg. Lenggong,10/12,10/12,2002,Perak
Sg. Temelong,10/12,10/12,2002,Perak
Sg. Pelus,28/10,28/10,2002,Perak
Sg. Bernam,10/11,10/11,2002,Selangor
Sg. Liam,29/4,29/4,2002,Selangor
Sg. Batang Kali,29/4,29/4,2002,Selangor
Sg. Selangor,30/4,30/4,2002,Selangor
Sg. Selangor,1/5,1/5,2002,Selangor
Sg. Selangor,20/11,20/11,2002,Selangor
Sg. Rawang,5/4,5/4,2002,Selangor
Sg. Rawang,1/5,1/5,2002,Selangor
Sg. Rawang,20/11,20/11,2002,Selangor
Sg. Buloh,30/8,30/8,2002,Selangor
Sg. Buloh,10/11,10/11,2002,Selangor
Sg. Kapar Besar / Sg. Binjai,10/11,10/11,2002,Selangor
Sg. Klang,29/4,29/4,2002,Selangor
Sg. Klang,7/10,7/10,2002,Selangor
Sg. Klang,5/11,5/11,2002,Selangor
Sg. Klang,9/11,10/11,2002,Selangor
Sg. Klang,12/11,12/11,2002,Selangor
Sg. Klang,26/11,26/11,2002,Selangor
Sg. Kuyoh,30/10,30/10,2002,Selangor
Sg. Kuyoh,10/11,10/11,2002,Selangor
Sg. Damansara,10/1,10/1,2002,Selangor
Sg. Damansara,1/9,1/9,2002,Selangor
Sg. Damansara,6/10,6/10,2002,Selangor
Sg. Takil,6/10,6/10,2002,Selangor
Sg. Aur,10/11,10/11,2002,Selangor
Sg. Semenyih,29/4,30/4,2002,Selangor
Sg. Klang,29/4,29/4,2002,KualaLumpur
Sg. Klang,6/5,6/5,2002,KualaLumpur
Sg. Klang,11/6,11/6,2002,KualaLumpur
Sg. Klang,6/9,6/9,2002,KualaLumpur
Sg. Klang,7/10,8/10,2002,KualaLumpur
Sg. Klang,5/11,5/11,2002,KualaLumpur
Sg. Klang,9/11,10/11,2002,KualaLumpur
Sg. Klang,12/11,12/11,2002,KualaLumpur
Sg. Klang,26/11,26/11,2002,KualaLumpur
Sg. Klang,21/12,21/12,2002,KualaLumpur
Sg. Batu,29/4,29/4,2002,KualaLumpur
Sg. Batu,11/6,11/6,2002,KualaLumpur
Sg. Gombak,11/6,11/6,2002,KualaLumpur
Sg. Kerayong,8/11,8/11,2002,KualaLumpur
Sg. Temiang,7/4,7/4,2002,NegeriSembilan
Sg. Temiang,14/10,14/10,2002,NegeriSembilan
Sg. Linggi,14/10,14/10,2002,NegeriSembilan
Sg. Linggi,10/11,10/11,2002,NegeriSembilan
Sg. Pedas,11/10,11/10,2002,NegeriSembilan
Sg. Udang,5/7,5/7,2002,Melaka
Sg. Putat,5/7,5/7,2002,Melaka
Sg. Putat,10/7,10/7,2002,Melaka
Sg. Duyong,5/7,5/7,2002,Melaka
Sg. Duyong,10/7,10/7,2002,Melaka
Sg. Rim,19/11,19/11,2002,Melaka
Sg. Kesang,19/11,19/11,2002,Melaka
Sg. Asahan,19/11,19/11,2002,Melaka
Sg. Kg. Dato' Johan,11/10,11/10,2002,Johor
Sg. Serting,11/10,11/10,2002,Pahang
Sg. Pahang,13/12,13/12,2002,Pahang
Sg. Kuantan,10/12,10/12,2002,Pahang
Sg. Kuantan,13/12,13/12,2002,Pahang
Sg. Besut,29/1,30/1,2002,Terengganu
Sg. Air Belaga,9/12,13/12,2002,Terengganu
Sg. Kelantan,13/12,24/12,2002,Terengganu
Sg. Lebir,13/12,24/12,2002,Terengganu
Sg. Sat,9/12,13/12,2002,Terengganu
Sg. Bagan,9/12,13/12,2002,Terengganu
Sg. Nal,14/12,15/12,2002,Terengganu
Sg. Bedal,14/12,15/12,2002,Terengganu
Sg. Golok,9/12,13/12,2002,Terengganu
Sg. Golok,21/12,31/12,2002,Terengganu
Sg. Bandau,7/1,16/1,2002,Sabah
Sg. Bongawan,8/10,8/10,2002,Sabah
Sg. Pamaluyan,9/10,12/10,2002,Sabah
Sg. Lakutan,10/12,10/12,2002,Sabah
Btg. Limbang,25/1,27/1,2002,Sarawak
Btg. Limbang,30/1,30/1,2002,Sarawak
Btg. Rajang,12/1,26/1,2002,Sarawak
Btg. Rajang,20/2,7/3,2002,Sarawak
Btg. Rajang,3/6,3/6,2002,Sarawak
Sg. Sarawak,6/1,10/1,2002,Sarawak
Sg. Sarawak,13/1,13/1,2002,Sarawak
Sg. Sarawak,20/1,20/1,2002,Sarawak
Sg. Sarawak,28/1,28/1,2002,Sarawak
Sg. Sarawak,3/2,4/2,2002,Sarawak
Sg. Sarawak,16/2,17/2,2002,Sarawak
Sg. Sarawak,1/7,1/7,2002,Sarawak
Sg. Sarawak,10/9,10/9,2002,Sarawak
Sg. Kedah,21/10,26/10,2003,Kedah
Sg. Gurun,8/9,10/9,2003,Kedah
Sg. Gurun,4/10,13/10,2003,Kedah
Sg. Udang,8/9,10/9,2003,Kedah
Sg. Petani,4/10,13/10,2003,Kedah
Sg. Pasir,4/10,13/10,2003,Kedah
Sg. Baling,4/10,13/10,2003,Kedah
Sg. Ketil,20/10,22/10,2003,Kedah
Sg. Kupang,20/10,22/10,2003,Kedah
Sg. Muda,3/10,13/10,2003,Kedah
Sg. Muda,21/10,26/10,2003,Kedah
Sg. Lahar Tiang,3/10,13/10,2003,Kedah
Sg. Tembus,3/10,13/10,2003,Kedah
Sg. Lahar Endin,3/10,13/10,2003,Kedah
Sg. Lokan,3/10,13/10,2003,PulauPinang
Sg. Kereh,3/10,13/10,2003,PulauPinang
Sg. Kulim,2/8,2/8,2003,PulauPinang
Sg. Kulim,17/8,17/8,2003,PulauPinang
Sg. Kulim,8/9,8/9,2003,PulauPinang
Sg. Kulim,3/10,13/10,2003,PulauPinang
Sg. Kulim,25/11,25/11,2003,PulauPinang
Sg. Jarak,21/10,26/10,2003,PulauPinang
Sg. Semambu,17/8,17/8,2003,PulauPinang
Sg. Mengkuang,3/10,5/10,2003,PulauPinang
Sg. Pertama,3/10,5/10,2003,PulauPinang
Sg. Anak Jelutong,5/10,5/10,2003,PulauPinang
Sg. Derhaka,5/10,5/10,2003,PulauPinang
Sg. Permatang Rawa,3/4,3/4,2003,PulauPinang
Sg. Permatang Rawa,8/9,8/9,2003,PulauPinang
Sg. Permatang Rawa,3/10,5/10,2003,PulauPinang
Sg. Permatang Rawa,25/11,25/11,2003,PulauPinang
Sg. Juru,3/10,6/10,2003,PulauPinang
Sg. Kilang Ubi,4/10,6/10,2003,PulauPinang
Sg. Rambai,3/10,5/10,2003,PulauPinang
Sg. Ara,3/10,5/10,2003,PulauPinang
Sg. Permatang Rotan,4/10,5/10,2003,PulauPinang
Sg. Junjong,2/10,7/10,2003,PulauPinang
Sg. Machang Bubok,2/10,5/10,2003,PulauPinang
Sg. Tok Suboh,4/10,6/10,2003,PulauPinang
Sg. Jawi,27/6,27/6,2003,PulauPinang
Sg. Jawi,4/10,4/10,2003,PulauPinang
Sg. Jawi,6/10,6/10,2003,PulauPinang
Sg. Pinang,3/10,5/10,2003,PulauPinang
Sg. Air Hitam,3/10,5/10,2003,PulauPinang
Sg. Jelutong,3/10,5/10,2003,PulauPinang
Prangin Canal S-10,Prangin Canal S-10,5/10,2003,PulauPinang
Sg. Bayan Lepas,4/10,5/10,2003,PulauPinang
Sg. Kampung SeroNo.k,4/10,5/10,2003,PulauPinang
Sg. Pulau Betong,4/10,5/10,2003,PulauPinang
Sg. Poley,4/10,5/10,2003,PulauPinang
Sg. Telok Kumbar,4/10,5/10,2003,PulauPinang
Sg. Batu,4/10,5/10,2003,PulauPinang
Sg. Kampung Masjid,4/10,5/10,2003,PulauPinang
Sg. Burong,4/10,6/10,2003,PulauPinang
Sg. Bagan Air Hitam,4/10,6/10,2003,PulauPinang
Sg. Korok,4/10,6/10,2003,PulauPinang
Sg. Nipah,4/10,6/10,2003,PulauPinang
Sg. Telok Bahang,4/10,6/10,2003,PulauPinang
Sg. Telok Awak,4/10,6/10,2003,PulauPinang
Sg. Pinang,4/10,6/10,2003,PulauPinang
Sg. Rusa,4/10,6/10,2003,PulauPinang
Sg. Ara,4/10,6/10,2003,PulauPinang
Sg. Kerian / Sg. Selama,4/10,7/10,2003,Perak
Sg. Ijok,4/10,7/10,2003,Perak
Sg. Kurau,5/10,13/10,2003,Perak
Sg. Kurau / Sg. Ara,4/10,7/10,2003,Perak
Sg. Dinding,26/10,28/10,2003,Perak
Sg. Perak,16/5,17/5,2003,Perak
Sg. Perak,10/10,15/10,2003,Perak
Sg. Perak,22/10,29/10,2003,Perak
Sg. Perak,5/11,5/11,2003,Perak
Sg. Perak,4/11,23/11,2003,Perak
Sg. Perak/ Sg. Kinta,8/11,23/11,2003,Perak
Sg. Perak / Sg. Kayan,28/10,30/10,2003,Perak
Sg. Kelah,2/10,2/10,2003,Perak
Sg. Rokam / Sg. Pinji,27/3,27/3,2003,Perak
Sg. Rokam / Sg. Pinji,29/3,29/3,2003,Perak
Sg. Rokam / Sg. Pinji,3/3,4/3,2003,Perak
Sg. Rapat,27/3,27/3,2003,Perak
Sg. Rapat,29/3,29/3,2003,Perak
Sg. Rapat,3/3,4/3,2003,Perak
Sg. Rapat,6/11,6/11,2003,Perak
Sg. Keroh,30/3,30/3,2003,Perak
Sg. Kopisan,3/3,4/3,2003,Perak
Sg. Senam,3/3,4/3,2003,Perak
Sg. Sejuk,6/11,6/11,2003,Perak
Sg. Selabak,15/5,15/5,2003,Perak
Sg. Baung/ Sg. Sungkai,10/10,14/10,2003,Perak
Sg. Pahlawan/ Sg. Chikus / Sg. Seluang,10/10,14/10,2003,Perak
Sg. Sungkai Mati / Sg. Jelawat,24/11,27/11,2003,Perak
Sg. Kangsar,23/9,29/9,2003,Perak
Sg. Lenggong,21/4,21/4,2003,Perak
Sg. Lenggong,4/10,4/10,2003,Perak
Sg. Lenggong,8/11,8/11,2003,Perak
Sg. Kuak,3/10,4/10,2003,Perak
Sg. Jepai,4/10,4/10,2003,Perak
Sg. Temelong,4/10,4/10,2003,Perak
Sg. Temelong,24/10,24/10,2003,Perak
Sg. Temelong,20/11,20/11,2003,Perak
Sg. Pelus,9/10,9/10,2003,Perak
Sg. Pelus,20/11,20/11,2003,Perak
Sg. Nerok,4/11,4/11,2003,Perak
Sg. Nerok,9/11,9/11,2003,Perak
Sg. Tampan,4/11,4/11,2003,Perak
Sg. Inki / Sg. Bernam,2/5,2/5,2003,Selangor
Sg. Bernam,11/11,14/11,2003,Selangor
Sg. Bernam,18/11,18/11,2003,Selangor
Sg. Kerling,2/5,2/5,2003,Selangor
Sg. Kelawai / Sg. Kerling,2/5,2/5,2003,Selangor
Sg. Kelawai / Sg. Kerling,1/6,1/6,2003,Selangor
Sg. Kelawai / Sg. Kerling,11/11,11/11,2003,Selangor
Sg. Kuang / Sg. Rawang,13/8,13/8,2003,Selangor
Sg. Kuang / Sg. Rawang,17/11,17/11,2003,Selangor
Sg. Buloh,8/3,8/3,2003,Selangor
Sg. Buloh,14/4,14/4,2003,Selangor
Sg. Buloh,2/5,2/5,2003,Selangor
Sg. Buloh,16/11,16/11,2003,Selangor
Sg. Pelong,7/5,7/5,2003,Selangor
Sg. Pelong,16/7,16/7,2003,Selangor
Sg. Pelong,13/8,13/8,2003,Selangor
Sg. Pelong,31/10,31/10,2003,Selangor
Sg. Pelong,3/12,3/12,2003,Selangor
Sg. Kuyoh,21/2,21/2,2003,Selangor
Sg. Kuyoh,7/5,7/5,2003,Selangor
Sg. Kuyoh,15/7,15/7,2003,Selangor
Sg. Kuyoh,21/7,21/7,2003,Selangor
Sg. Kuyoh,12/8,12/8,2003,Selangor
Sg. Kuyoh,27/9,27/9,2003,Selangor
Sg. Kuyoh,31/10,31/10,2003,Selangor
Sg. Kuyoh,7/11,7/11,2003,Selangor
Sg. Kuyoh,24/12,24/12,2003,Selangor
Sg. Damansara / Sg. Klang,3/12,3/12,2003,Selangor
Sg. Damansara,7/5,7/5,2003,Selangor
Sg. Damansara,16/7,16/7,2003,Selangor
Sg. Damansara,13/8,13/8,2003,Selangor
Sg. Damansara,31/10,31/10,2003,Selangor
Sg. Baru,8/11,8/11,2003,Selangor
Sg. Klang,25/1,25/1,16/7,2/10
Sg. Klang,8/3,8/3,16/7,2/10
Sg. Klang,13/3,13/3,16/7,2/10
Sg. Klang,8/4,8/4,16/7,2/10
Sg. Klang,19/4,19/4,16/7,2/10
Sg. Klang,7/5,7/5,16/7,2/10
Sg. Langat,13/4,13/4,25/6,17/11
Sg. Lui/ Sg. Paya Lebar,12/11,13/11,2003,Selangor
Sg. Lui/ Sg. Paya Lebar,16/11,16/11,2003,Selangor
Sg. Labu,8/4,8/4,24/6,16/7
Sg. Klang,25/1,25/1,2003,KualaLumpur
Sg. Klang,8/3,8/3,2003,KualaLumpur
Sg. Klang,13/3,13/3,2003,KualaLumpur
Sg. Klang,8/4,8/4,2003,KualaLumpur
Sg. Klang,19/4,19/4,2003,KualaLumpur
Sg. Klang,7/5,7/5,2003,KualaLumpur
Sg. Klang,10/6,10/6,2003,KualaLumpur
Sg. Klang,16/7,16/7,2003,KualaLumpur
Sg. Klang,21/7,21/7,2003,KualaLumpur
Sg. Klang,2/10,2/10,2003,KualaLumpur
Sg. Klang,14/11,17/11,2003,KualaLumpur
Sg. Klang,8/12,8/12,2003,KualaLumpur
Sg. Gombak,10/6,10/6,2003,KualaLumpur
Sg. Kerayong,10/6,10/6,2003,KualaLumpur
Sg. Kerayong,21/6,21/6,2003,KualaLumpur
Sg. Kerayong,17/11,17/11,2003,KualaLumpur
Sg. Batu,10/6,10/6,2003,KualaLumpur
Sg. Bunus,10/6,10/6,2003,KualaLumpur
Sg. Bunus,21/7,21/7,2003,KualaLumpur
Sg. Bunus,14/8,14/8,2003,KualaLumpur
Sg. Sarang Buaya,8/12,9/12,2003,Johor
Sg. Jemaluang,8/12,9/12,2003,Johor
Sg. Jemaluang / Sg. Paya Dato,8/12,9/12,2003,Johor
Sg. Mersing,8/12,9/12,2003,Johor
Sg. Derhaka / Pt. Tahan,8/12,9/12,2003,Johor
Sg. Endau / Sg. Padang,8/12,9/12,2003,Johor
Sg. Endau / Pt. Besar Semanyir,8/12,9/12,2003,Johor
Sg. Tekedai,8/12,9/12,2003,Johor
